"cust","x","t.x","litt","sales","first","T.cal"
211,0,0,0,86,2018-11-22,44.5714285714286
212,1,42.2857142857143,3.74444930526875,223.77,2017-12-07,94.5714285714286
213,3,47.2857142857143,7.20389131171689,319,2018-08-29,56.7142857142857
214,0,0,0,250,2018-12-30,39.1428571428571
215,0,0,0,130,2018-07-12,63.5714285714286
216,0,0,0,130,2019-05-25,18.2857142857143
217,0,0,0,56.6,2018-03-21,79.7142857142857
218,5,8.28571428571429,-2.09424685901715,290,2019-06-18,14.8571428571429
219,0,0,0,210,2018-11-04,47.1428571428571
220,1,0.142857142857143,-1.94591014905531,180,2019-03-08,29.4285714285714
221,0,0,0,1020,2019-06-27,13.5714285714286
222,1,4.14285714285714,1.42138568093116,204,2019-02-15,32.4285714285714
223,0,0,0,222,2018-08-16,58.5714285714286
224,1,15.4285714285714,2.73622107806891,260,2019-03-26,26.8571428571429
225,0,0,0,280,2018-03-20,79.8571428571429
226,1,31.1428571428571,3.43858491373378,160,2018-04-09,77
227,0,0,0,50,2019-02-15,32.4285714285714
228,0,0,0,80,2019-03-14,28.5714285714286
229,1,4.14285714285714,1.42138568093116,406.4,2019-08-01,8.57142857142857
230,1,0.571428571428571,-0.559615787935423,340,2019-01-17,36.5714285714286
231,0,0,0,160.38,2018-05-13,72.1428571428571
232,1,1.42857142857143,0.356674943938732,200,2018-05-15,71.8571428571429
233,0,0,0,80,2019-03-06,29.7142857142857
234,0,0,0,50,2019-07-12,11.4285714285714
235,1,4.14285714285714,1.42138568093116,380,2019-02-02,34.2857142857143
236,1,0.142857142857143,-1.94591014905531,208,2019-04-06,25.2857142857143
237,0,0,0,320,2019-07-22,10
238,2,12.2857142857143,0.55083095837969,250,2019-04-24,22.7142857142857
239,5,24.4285714285714,1.30404776298704,832.6,2019-03-08,29.4285714285714
240,3,2.57142857142857,-0.71376646776268,650,2018-12-05,42.7142857142857
241,1,39.2857142857143,3.67086094861126,160,2018-06-21,66.5714285714286
242,2,1.85714285714286,-0.800777844752311,194,2018-08-18,58.2857142857143
243,1,18.1428571428571,2.89827693740328,650,2019-02-22,31.4285714285714
244,0,0,0,50,2018-08-20,58
245,0,0,0,120,2019-01-28,35
246,0,0,0,80,2018-09-11,54.8571428571429
